Question,1,2,3,4,5,Reflective Questions,EXAMPLE
SC1,"This suggests that you may have significant physical or cognitive limitations, such as paralysis or stroke-related cognitive impairments, which prevent you from preparing food independently.","This suggests that you may face significant challenges in preparing food, such as difficulties with fine motor skills or coordination.","This suggests that you may have minor difficulties in preparing food, possibly due to mild physical limitations or difficulties with multi-tasking. ","This suggests that you may have some minor challenges in preparing food, such as fatigue or mild weakness. ",This indicates that you did not experience any difficulties in preparing food.,"During the past week, was there an instance where you were making a meal for yourself and you found it to be challenging?","f.x. you're hands were shaking, you couldn't control kitchen equipment with precision, you got too tired"
SC2,"This option suggests that you are unable to eat without assistance, and may need help cutting or swallowing your food.","This option suggests that you faced significant difficulties in eating, possibly due to physical or cognitive limitations. You may have experienced difficulties with using utensils or with swallowing.",This option suggests that you experienced minor difficulties in eating. This could indicate minor physical limitations or difficulties with using utensils.,"This option suggests that you experienced some minor challenges in eating, possibly due to fatigue or mild physical limitations.",This option indicates that you did not experience any difficulties in eating.,"During the past week, what was your experinece while eating food? Was there a part of the process that proved to be difficult? ","f.x. cutting food, chewing, swallowing"
SC4,"This suggests that you may require assistance with dressing due to significant physical or cognitive limitations, such as paralysis or stroke-related cognitive impairments.",This option suggests that you may face significant challenges in dressing yourself due to difficulties with fine motor skills or coordination. ,"This option suggests that you may experience minor difficulties in getting dressed, possibly due to mild physical limitations or difficulties with multi-tasking.","This option suggests that you may experience some minor challenges in getting dressed, such as fatigue or mild weakness. ",This option indicates that you did not experience any difficulties in getting dressed.,"During the past week, did you experience any issues while putting your clothes on?",has examples
SC5,This suggests that you may need assistance with taking a bath or shower due to severe physical or cognitive limitations.,"This suggests that you faced significant challenges in taking a bath or shower, possibly due to difficulties with balance, coordination, or mobility.","This suggests that you experienced minor difficulties in taking a bath or shower, possibly due to mild physical limitations or difficulties with multi-tasking.","This suggests that you experienced some minor challenges in taking a bath or shower, such as fatigue or mild weakness.",This indicates that you did not experience any difficulties in taking a bath or shower.,"During the past week, was there a time where you had trouble taking a bath or shower? ","f.x. you couldn't get out of the bath, you needed to sit down in the shower, you couldn't wash all parts pf your body"
SC8,"This option suggests that you were unable to use the toilet independently, and may need assistance.","This option suggests that you faced significant difficulties in using the toilet, possibly due to physical or cognitive limitations.",This option suggests that you experienced minor difficulties in using the toilet. ,"This option suggests that you experienced some minor challenges in using the toilet, possibly due to fatigue or mild weakness.",This option indicates that you did not experience any difficulties in using the toilet.,"During the past week, when going to the bathroom, did you experience any inconveniences?","f.x. you had trouble taking off clothes, you had trouble controlling your bowels or bladder"
V1,You were unable to see the television at all and could not enjoy a show.,You faced significant challenges in seeing the television.,"You experienced minor difficulties in seeing the television, possibly due to mild visual impairments or distractions in the environment.","You experienced some minor challenges in seeing the television, such as fatigue or mild visual strain.",You did not experience any difficulties in seeing the television.,"During the past week, when watching TV, was it difficult for you to see the content as clearly as you would like to?","f.x. your eyes got tired, started watering, your vision got blurry"
V2,"You may have been unable to reach for things due to poor eyesight, and required assistance with daily activities.","You may have faced significant challenges in reaching for things, possibly due to visual impairments or difficulties with visual processing.","You may have experienced minor difficulties in reaching for things, possibly due to mild visual impairments or distractions in the environment.","You may have experienced some minor challenges in reaching for things, such as fatigue or mild visual strain.",You did not experience any difficulties in reaching for things due to poor eyesight.,"During the past week, did your poor eyesight  affect your ability to reach for things?","f.x. objects had a different location than were you saw them, there is a part of your FOV that is obstructed"
V3,"This option suggests that you were unable to see things off to one side at all, and required assistance with daily activities.",This option suggests that you faced significant challenges in seeing things off to one side.,This option suggests that you experienced minor difficulties in seeing things off to one side.,"This option suggests that you experienced some minor challenges in seeing things off to one side, such as fatigue or mild visual strain.",This option indicates that you did not experience any difficulties in seeing things off to one side.,"During the past week, did you notice your vision being obstructed on one side so that you had trouble seeing objects?","f.x. when crossing a road, when biking, you were missing a part of field of vision"
L2,This indicates that you were unable to speak or required significant assistance in communicating.,This suggests that you faced significant challenges in speaking.,This option suggests that you experienced minor difficulties in speaking.,"This option suggests that you experienced some minor challenges in speaking, such as occasional stuttering or mild slurring of words.",This indicates that you did not experience any difficulties in speaking.,"During the past week, did you find yourself having trouble communicating your thoughts to others?",has examples
L3,You were unable to speak clearly enough to use the telephone and required assistance.,You faced significant challenges in speaking clearly enough to use the telephone.,You experienced minor difficulties in speaking clearly enough to use the telephone.,"You experienced some minor challenges in speaking clearly enough to use the telephone, such as occasional difficulty with pronunciation.",You did not experience any difficulties in speaking clearly enough to use the telephone.,"During the past week, were you able to talk on the phone with others understanding you clearly?",f.x. you had to have somone else take over a conversation as people couldn't understand you
